stage	residue	fertilization	NH4	NO3	AP	AK	pH	MBC	MBN	DOC	DON	TN	TC	SOC
Jointing	Remove	HF	2.402854427	5.544217337	6.724666667	22.892	8.328	25.68888889	8.08	48.475	3.195	1.199 	22.75 	10.99
Jointing	Remove	HF	2.039337379	6.698074112	7.242666667	25.084	8.299	28.97777778	9.28	43.79	3.7125	1.156 	20.81 	11.3
Jointing	Remove	HF	7.340375439	12.91448421	6.212666667	22.344	8.339	26.74666667	7.632	49.905	3.9875	1.172 	21.69 	10.75
Jointing	Remove	HF	1.551406287	4.524935004	7.874666667	22.892	8.344	30.24888889	6.368	42.585	3.07	1.109 	20.07 	11.35
Jointing	Remove	HO	2.027353558	7.304966113	7.262666667	29.468	8.301	30.04444444	9.664	54.95	2.7025	1.418 	23.66 	15.77
Jointing	Remove	HO	3.747039548	6.694025599	7.692666667	27.824	8.302	33.33333333	6.864	49.58	2.2925	1.313 	21.87 	9.64
Jointing	Remove	HO	0.348678091	6.12523162	6.108666667	19.056	8.367	26.93333333	5.824	42.425	2.34	1.107 	20.10 	12.48
Jointing	Remove	HO	0.584769266	7.566125043	6.496666667	23.988	8.36	28.35555556	8.048	45.36	2.4725	1.154 	21.46 	11.69
Jointing	Remove	MF	0.890209062	5.027698951	6.940666667	19.056	8.325	42.4	9.664	52.2	3.4275	1.048 	19.11 	8.08
Jointing	Remove	MF	2.437131306	6.474874853	7.730666667	23.988	8.289	21.86666667	6.688	38.225	3.1725	1.060 	19.27 	9.87
Jointing	Remove	MF	1.351531377	21.10329977	5.982666667	23.44	8.207	27.91111111	7.744	43.27	2.7825	1.240 	19.79 	10.77
Jointing	Remove	MF	1.159673965	5.693927139	6.316666667	12.48	8.419	18.07111111	6.448	26.56	1.355	0.954 	16.03 	7.12
Jointing	Remove	CK	6.110388497	3.984089412	7.124666667	17.412	8.361	24.17777778	7.936	35.635	1.755	1.096 	18.63 	8.34
Jointing	Remove	CK	5.83042609	5.370224652	7.518666667	18.508	8.324	27.73333333	9.504	31.105	1.47	1.022 	18.54 	8.39
Jointing	Remove	CK	1.25482822	2.578563192	6.432666667	15.768	8.445	24.53333333	5.52	28.71	3.7225	0.881 	16.34 	7.05
